FighterName,ImageLink
Cody Stamann,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/STAMANN_CODY_L_11-09.png?itok=bSKoRPdw
Tresean Gore,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/GORE_TRESEAN_L_11-09.png?itok=3ohOWgQk
Antonio Trocoli,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/TROCOLI_ANTONIO_R_11-09.png?itok=QPteYkyb
Melissa Mullins,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/MULLINS_MELISSA_L_11-09.png?itok=usz738FY
Klaudia Sygula,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/SYGULA_KLAUDIA_R_11-09.png?itok=ew1nMCdC
Brandon Moreno,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-07/MORENO_BRANDON_L_06-12.png?itok=-Gi9L7O0
Amir Albazi,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ALBAZI_AMIR_L_06-03.png?itok=M8BtK40U
Erin Blanchfield,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/BLANCHFIELD_ERIN_L_11-02.png?itok=nGxWeo_5
Rose Namajunas,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NAMAJUNAS_ROSE_L_07-13.png?itok=fEY7XpDC
Caio Machado,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/MACHADO_CAIO_L_11-02.png?itok=KhnE9mbz
Brendson Ribeiro,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/RIBEIRO_BRENDSON_L_02-17.png?itok=gWU0MXme
Jasmine Jasudavicius,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/JASUDAVICIUS_JASMINE_L_07-13.png?itok=TfV-azRC
Marc-Andre Barriault,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/BARRIAULT_MARC-ANDRE_L_11-02.png?itok=ZY-5RAXG
